,Sales,Assortment,StoreType
1,3716854.0,a,a
2,3883858.0,a,a
3,5408261.0,c,c
4,7556507.0,a,a
5,3642818.0,a,a
6,4297758.0,c,a
7,6930202.0,a,a
8,4342857.0,c,a
9,5112061.0,a,a
10,4365642.0,c,a
11,6296286.0,c,a
12,5950245.0,a,d
13,3126578.0,a,a
14,4291174.0,c,d
15,5231510.0,c,a
16,5967891.0,a,a
17,4954488.0,c,d
18,5130137.0,c,a
19,5036169.0,a,d
20,4801543.0,c,c
21,4259763.0,a,a
22,2801506.0,a,d
23,4300299.0,c,a
24,7313475.0,a,c
25,8376557.0,a,d
26,5217266.0,a,a
27,7383809.0,a,a
28,4080950.0,c,d
29,5737160.0,a,a
30,4114046.0,c,d
31,4596143.0,a,a
32,2526117.0,c,a
33,6572158.0,a,c
34,6296685.0,c,d
35,7558693.0,c,a
36,5824183.0,a,c
37,5549053.0,a,d
38,4677617.0,a,a
39,3780153.0,a,a
40,3804215.0,c,d
41,3318407.0,c,a
42,7928768.0,a,d
43,5315050.0,a,a
44,4295144.0,a,d
45,4166458.0,a,c
46,3329125.0,c,a
47,5601760.0,a,a
48,3085014.0,c,d
49,5675296.0,a,d
50,3315479.0,c,a
51,4152028.0,c,d
52,4607742.0,c,a
53,4127609.0,c,d
54,6207418.0,a,a
55,3587212.0,c,d
56,5718290.0,c,d
57,8155633.0,c,a
58,3947427.0,c,a
59,4302026.0,c,d
60,6265808.0,c,a
61,3668998.0,a,a
62,5066512.0,c,c
63,5453808.0,c,d
64,8070070.0,c,a
65,3988058.0,a,d
66,4750858.0,c,a
67,6083079.0,c,a
68,5929590.0,c,c
69,7362059.0,c,c
70,5167478.0,a,a
71,7058595.0,a,a
72,2753676.0,c,a
73,3588351.0,a,a
74,4855145.0,c,d
75,4722388.0,c,d
76,5606718.0,c,d
77,5952383.0,a,a
78,2899629.0,a,a
79,4253485.0,a,d
80,5933077.0,a,a
81,4345098.0,a,a
82,7026310.0,a,a
83,3028523.0,c,a
84,10092722.0,a,b
85,6850652.0,a,a
86,3652727.0,a,a
87,4598287.0,a,a
88,4699058.0,a,a
89,3714173.0,a,a
90,6548246.0,a,c
91,4324904.0,a,c
92,4671417.0,a,a
93,4646872.0,c,d
94,5547371.0,a,a
95,5958064.0,a,a
96,4037973.0,c,d
97,5228649.0,c,d
98,3980584.0,c,c
99,3191184.0,a,d
100,4826434.0,c,d
101,5856384.0,a,a
102,5444156.0,c,d
103,2959073.0,a,a
104,7939205.0,c,a
105,3348791.0,a,a
106,6718335.0,a,a
107,5751886.0,c,d
108,6863994.0,c,a
109,5068030.0,c,a
110,3554993.0,c,d
111,5288733.0,a,a
112,4883888.0,c,d
113,4477826.0,a,c
114,4191703.0,c,d
115,4585191.0,a,a
116,5711629.0,a,a
117,3024044.0,c,d
118,6085216.0,c,a
119,4707987.0,a,d
120,5552990.0,a,a
121,3473474.0,c,a
122,5718883.0,a,a
123,6450589.0,a,a
124,3446410.0,a,a
125,9280089.0,a,d
126,5069540.0,a,d
127,3263370.0,c,d
128,5822099.0,a,a
129,5727451.0,a,c
130,3999550.0,a,c
131,4109540.0,c,d
132,3908185.0,a,a
133,5057788.0,a,a
134,3705099.0,a,d
135,4648837.0,c,a
136,3414045.0,a,a
137,5147039.0,c,a
138,5721236.0,a,a
139,4020701.0,c,a
140,5833328.0,c,c
141,4305156.0,a,a
142,3586489.0,a,d
143,4919195.0,c,a
144,4823879.0,a,a
145,5072096.0,c,d
146,6086195.0,c,d
147,6397583.0,a,a
148,6772949.0,a,d
149,3462975.0,c,c
150,6599117.0,c,d
151,5269496.0,a,a
152,4317171.0,a,a
153,5505047.0,c,d
154,6824045.0,a,d
155,4290509.0,a,a
156,5443980.0,c,a
157,7574054.0,c,d
158,6354198.0,a,d
159,4827383.0,c,d
160,4475644.0,c,a
161,5649774.0,c,d
162,6066911.0,a,a
163,5722186.0,a,a
164,3868966.0,a,a
165,2486031.0,c,a
166,4533193.0,a,a
167,7250708.0,a,a
168,5840824.0,a,d
169,5529699.0,a,a
170,3902355.0,a,a
171,6566306.0,a,a
172,4342600.0,a,a
173,6454502.0,a,a
174,3692528.0,a,c
175,4535086.0,a,a
176,4111700.0,a,a
177,3115395.0,a,d
178,7870142.0,c,a
179,5683019.0,a,d
180,5660528.0,a,a
181,3976421.0,c,d
182,4142935.0,a,a
183,2945836.0,c,d
184,5123769.0,c,d
185,5621764.0,a,a
186,2353548.0,c,a
187,4923311.0,a,d
188,3884836.0,a,d
189,6826322.0,a,a
190,4477750.0,a,a
191,4253819.0,c,d
192,5608471.0,a,a
193,4166302.0,c,d
194,3752516.0,c,a
195,8345567.0,a,c
196,4079175.0,a,c
197,5367788.0,a,a
198,2268273.0,c,d
199,6197488.0,a,a
200,6021315.0,a,d
201,4089245.0,c,d
202,4737388.0,c,c
203,5298238.0,a,a
204,3412446.0,a,a
205,5124867.0,c,a
206,5575733.0,a,a
207,8768418.0,a,c
208,2302052.0,c,a
209,4928424.0,a,d
210,2488114.0,c,a
211,10187567.0,c,a
212,3744115.0,c,d
213,6334081.0,a,d
214,7269531.0,a,d
215,3920679.0,a,c
216,5607978.0,a,c
217,3685496.0,c,a
218,3121555.0,a,a
219,2441162.0,a,a
220,3807392.0,c,d
221,4564321.0,a,a
222,3906246.0,c,d
223,5656109.0,c,d
224,5151315.0,a,d
225,4064054.0,a,a
226,5667944.0,a,a
227,4623704.0,c,d
228,6190043.0,c,d
229,6734738.0,c,d
230,5928326.0,c,d
231,2967114.0,c,c
232,2583221.0,a,a
233,7365681.0,a,d
234,8625334.0,a,a
235,4635585.0,a,a
236,5581738.0,a,a
237,3556217.0,a,a
238,5868876.0,c,d
239,3950473.0,a,a
240,3772636.0,c,d
241,5128334.0,a,d
242,3196707.0,a,a
243,4407146.0,a,d
244,4106186.0,c,a
245,6949075.0,a,c
246,5551547.0,c,d
247,6698411.0,c,a
248,6555942.0,c,d
249,4144086.0,a,d
250,6615557.0,c,a
251,14896870.0,c,d
252,8269484.0,c,a
253,4476698.0,a,d
254,2341661.0,c,c
255,4885211.0,c,a
256,7630314.0,a,a
257,4183099.0,a,a
258,3509384.0,b,b
259,10851871.0,a,a
260,5143038.0,c,d
261,9828244.0,a,b
262,19516842.0,c,a
263,2306075.0,a,a
264,5512491.0,a,a
265,3859812.0,c,a
266,3424011.0,a,c
267,7282702.0,a,a
268,3826840.0,c,a
269,7281084.0,a,a
270,7284633.0,a,a
271,6116519.0,a,a
272,4871343.0,c,a
273,5499466.0,b,b
274,3794012.0,a,d
275,4630070.0,a,a
276,3191132.0,c,d
277,4008491.0,c,a
278,5599459.0,c,d
279,5532919.0,c,d
280,4869839.0,c,d
281,4594724.0,a,a
282,3456330.0,a,a
283,4425007.0,a,d
284,3367042.0,a,a
285,4025996.0,a,a
286,3838772.0,a,c
287,5070793.0,a,d
288,3499206.0,a,d
289,4936879.0,a,a
290,5464029.0,a,d
291,6257971.0,a,a
292,4422953.0,c,c
293,4899830.0,a,a
294,4506589.0,a,a
295,4106780.0,a,a
296,5438463.0,a,a
297,5432839.0,a,d
298,5223940.0,c,d
299,5499540.0,c,a
300,5534680.0,c,a
301,4342138.0,c,d
302,2922724.0,a,a
303,4740126.0,a,a
304,5541079.0,c,c
305,4176274.0,a,a
306,2717435.0,a,a
307,2114322.0,a,a
308,7183229.0,a,d
309,5430658.0,c,a
310,7388018.0,c,a
311,5184737.0,a,d
312,4348731.0,c,d
313,5533037.0,a,a
314,4002280.0,c,a
315,3333890.0,a,d
316,7677532.0,a,d
317,3346040.0,c,d
318,5871619.0,c,a
319,6105068.0,c,a
320,11630218.0,c,c
321,4647488.0,a,a
322,3926557.0,c,d
323,5737615.0,a,a
324,4436629.0,c,a
325,5051539.0,a,d
326,3901936.0,c,c
327,6012573.0,a,a
328,3452551.0,a,a
329,5385006.0,c,a
330,3245811.0,c,a
331,4799307.0,a,a
332,2908282.0,c,a
333,7662181.0,c,d
334,4228712.0,a,b
335,12541731.0,a,a
336,10850316.0,c,d
337,3943779.0,c,a
338,5637222.0,c,a
339,3881031.0,c,a
340,5084744.0,a,a
341,4293485.0,c,d
342,6895670.0,a,d
343,5608306.0,c,a
344,6649189.0,a,a
345,2836062.0,c,a
346,5320960.0,c,d
347,3732856.0,a,a
348,5255376.0,c,c
349,5711451.0,a,d
350,5477257.0,a,a
351,4710510.0,c,d
352,5246710.0,b,b
353,5255773.0,c,d
354,6536263.0,c,a
355,7172668.0,c,d
356,4443882.0,a,a
357,5986921.0,a,a
358,8028461.0,c,d
359,5337128.0,a,a
360,5437400.0,c,c
361,4888169.0,c,c
362,7323168.0,a,a
363,5593213.0,c,a
364,3510451.0,a,c
365,3378609.0,c,d
366,4833475.0,c,d
367,4119323.0,c,d
368,7526231.0,c,d
369,5354973.0,a,d
370,5959072.0,c,d
371,5380900.0,c,d
372,6844455.0,c,d
373,3520201.0,a,a
374,5495584.0,c,a
375,7148220.0,a,a
376,6548133.0,c,a
377,6129725.0,c,a
378,4927020.0,a,d
379,3059341.0,a,a
380,11261676.0,a,a
381,7021213.0,c,c
382,6228961.0,c,a
383,13489879.0,c,a
384,6937572.0,a,d
385,4570779.0,c,d
386,6255013.0,a,c
387,7171744.0,a,a
388,7990920.0,c,a
389,8104523.0,c,a
390,9023552.0,a,a
391,4392619.0,a,a
392,5670675.0,c,d
393,4598489.0,a,d
394,6523885.0,a,a
395,3107536.0,c,a
396,7973232.0,c,a
397,4342834.0,c,c
398,4309274.0,a,a
399,3457604.0,a,a
400,6839152.0,c,a
401,5480695.0,c,c
402,4569233.0,a,a
403,5817980.0,c,a
404,3631985.0,a,a
405,3521625.0,c,d
406,4760515.0,a,a
407,2417555.0,a,c
408,3673481.0,c,d
409,4316867.0,a,c
410,5019781.0,c,d
411,7133158.0,c,d
412,5661520.0,c,a
413,4390211.0,c,d
414,5020250.0,c,d
415,4863171.0,c,a
416,8633413.0,c,a
417,5946326.0,a,a
418,4094061.0,a,c
419,4163948.0,c,d
420,2824092.0,c,c
421,7517189.0,c,a
422,3574303.0,a,b
423,10200356.0,c,d
424,5395164.0,c,d
425,2512424.0,a,a
426,3948281.0,c,a
427,4761741.0,a,d
428,3910828.0,c,d
429,3309752.0,c,d
430,5369397.0,c,d
431,7419918.0,a,a
432,8610571.0,c,a
433,4621066.0,a,a
434,6160800.0,a,a
435,2553322.0,a,d
436,4297398.0,c,c
437,5746040.0,c,d
438,4019904.0,a,a
439,5719235.0,a,d
440,4006273.0,a,d
441,4929786.0,a,c
442,3402587.0,a,d
443,4095855.0,a,c
444,9470625.0,a,a
445,6673717.0,a,a
446,3842157.0,c,a
447,4161176.0,c,a
448,6609087.0,c,a
449,8789176.0,a,c
450,6830229.0,a,a
451,4248112.0,c,a
452,4037476.0,c,a
453,6896821.0,a,a
454,4519416.0,c,d
455,5727571.0,c,a
456,4822447.0,c,d
457,3010824.0,a,c
458,5921634.0,a,a
459,7194572.0,a,a
460,2914087.0,c,d
461,3759643.0,a,a
462,3769419.0,a,a
463,4747749.0,a,c
464,8343864.0,c,d
465,6062752.0,c,a
466,6007933.0,c,a
467,10501035.0,c,c
468,5229014.0,c,c
469,9330742.0,c,a
470,10174712.0,a,d
471,4422266.0,c,c
472,4080447.0,a,a
473,2767243.0,a,c
474,5885972.0,a,a
475,5023680.0,a,d
476,4564251.0,a,d
477,3864914.0,c,d
478,5336648.0,a,a
479,8782548.0,a,a
480,3869738.0,c,c
481,4026351.0,a,c
482,6517671.0,c,a
483,3859771.0,c,a
484,6050653.0,c,d
485,3029769.0,a,a
486,3323793.0,c,d
487,5487451.0,c,a
488,2890074.0,a,a
489,5698967.0,a,a
490,5131331.0,c,d
491,5242001.0,a,a
492,4825503.0,c,d
493,6462326.0,a,b
494,7205637.0,a,d
495,4005216.0,c,d
496,6059458.0,c,a
497,7077518.0,a,a
498,4351844.0,c,c
499,4006203.0,c,d
500,3330211.0,c,a
501,3345228.0,a,a
502,8377408.0,c,d
503,5224595.0,c,c
504,5231756.0,a,a
505,3711170.0,a,a
506,5905867.0,c,a
507,6587045.0,c,a
508,5251735.0,a,a
509,4783674.0,c,a
510,6385260.0,a,a
511,4439259.0,b,b
512,4105679.0,a,a
513,14252406.0,c,c
