,Unnamed: 0_x,Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,Unnamed: 0_y,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
0,0,1,5,2015-07-31,5263,555,1,1,0,1,0,c,a,1270,9,2008,0,22,2012,"Jan,Apr,Jul,Oct"
1,1115,1,4,2015-07-30,5020,546,1,1,0,1,0,c,a,1270,9,2008,0,22,2012,"Jan,Apr,Jul,Oct"
2,2230,1,3,2015-07-29,4782,523,1,1,0,1,0,c,a,1270,9,2008,0,22,2012,"Jan,Apr,Jul,Oct"
3,3345,1,2,2015-07-28,5011,560,1,1,0,1,0,c,a,1270,9,2008,0,22,2012,"Jan,Apr,Jul,Oct"
4,4460,1,1,2015-07-27,6102,612,1,1,0,1,0,c,a,1270,9,2008,0,22,2012,"Jan,Apr,Jul,Oct"
5,5575,1,7,2015-07-26,0,0,0,0,0,0,0,c,a,1270,9,2008,0,22,2012,"Jan,Apr,Jul,Oct"
6,6690,1,6,2015-07-25,4364,500,1,0,0,0,0,c,a,1270,9,2008,0,22,2012,"Jan,Apr,Jul,Oct"
7,7805,1,5,2015-07-24,3706,459,1,0,0,0,0,c,a,1270,9,2008,0,22,2012,"Jan,Apr,Jul,Oct"
8,8920,1,4,2015-07-23,3769,503,1,0,0,0,0,c,a,1270,9,2008,0,22,2012,"Jan,Apr,Jul,Oct"
9,10035,1,3,2015-07-22,3464,463,1,0,0,0,0,c,a,1270,9,2008,0,22,2012,"Jan,Apr,Jul,Oct"
10,11150,1,2,2015-07-21,3558,469,1,0,0,0,0,c,a,1270,9,2008,0,22,2012,"Jan,Apr,Jul,Oct"
11,12265,1,1,2015-07-20,4395,526,1,0,0,0,0,c,a,1270,9,2008,0,22,2012,"Jan,Apr,Jul,Oct"
12,13380,1,7,2015-07-19,0,0,0,0,0,0,0,c,a,1270,9,2008,0,22,2012,"Jan,Apr,Jul,Oct"
13,14495,1,6,2015-07-18,4406,512,1,0,0,0,0,c,a,1270,9,2008,0,22,2012,"Jan,Apr,Jul,Oct"
14,15610,1,5,2015-07-17,4852,519,1,1,0,0,0,c,a,1270,9,2008,0,22,2012,"Jan,Apr,Jul,Oct"
15,16725,1,4,2015-07-16,4427,517,1,1,0,0,0,c,a,1270,9,2008,0,22,2012,"Jan,Apr,Jul,Oct"
16,17840,1,3,2015-07-15,4767,550,1,1,0,0,0,c,a,1270,9,2008,0,22,2012,"Jan,Apr,Jul,Oct"
17,18955,1,2,2015-07-14,5042,544,1,1,0,0,0,c,a,1270,9,2008,0,22,2012,"Jan,Apr,Jul,Oct"
